Code,Name,Officialname,Registration_number,Keph_Level,Facility_type,Facility_type_category,Owner,Owner_type,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Operation status,Admission_status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,Lat,Long
31526,Al-Basrah Hospital Limited,Al-Basrah Hospital Limited,20870,Level_ 3,Nursing Homes,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,24,3,Nairobi,Mathare,Mathare,Kiamaiko,Operational,Admitting General & Maternity Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.876857,-1.255881
31023,Huruma Nelly Medical Centre,Huruma Nelly Medical Centre,13773,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Mathare,Mathare,Kiamaiko,Operational,Not Admitting Patients,FALSE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.8754563,-1.2570475
29283,Provide Medical Centre,Provide Medical Centre,3647,Level_ 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,12,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,Admitting Maternity Patients Only,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.871228,-1.250489
29144,Vintagelight Medical Centre,Vintagelight Medical Centre,None,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.87102,-1.251428
26914,Kiamaiko Dispensary,Kiamaiko Dispensary,None,Level_ 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Nairobi,Mathare,Mathare,Kiamaiko,Operational,None,FALSE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.8726341,-1.2570952
25722,Penda Medical Center - Mathare North,Penda Medical Center - Mathare North,17345,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,None,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.86726,-1.25301
24698,Hope Worldwide Kenya (Mathare - Utalii),Hope Worldwide Kenya (Mathare - Utalii),OP.218/051/9913/1253,Level_ 3,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,None,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.863807,-1.254668
19377,Delight Chemist & Lab,Delight chemist  & Lab,None,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,None,FALSE,FALSE,TRUE,FALSE,,Yes,TRUE,FALSE,36.86616,-1.25304
19376,The Arcade Medical Centre,The Arcade medical centre,None,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,None,FALSE,FALSE,TRUE,FALSE,,Yes,TRUE,FALSE,36.86714,-1.25303
12973,EDARP Huruma Clinic,EDARP Huruma Clinic,1827,Level_ 2,Medical Clinic,MEDICAL CLINIC,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Mathare,Mathare,Huruma,Operational,Not Admitting Patients,FALSE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.872755,-1.257937
13077,Mathare North Hospital,Mathare North Hospital,GK-008957,Level_ 3,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,12,4,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,Not Admitting Patients,TRUE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.867485,-1.25323
13130,National Youth Service Hq Dispensary (Ruaraka),National Youth Service Hq Dispensary (Ruaraka),None,Level_ 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,None,FALSE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.86927,-1.25128
13150,Provide International Korogocho,Provide International Korogocho,None,Level_ 3,Basic Health Centre,HEALTH CENTRE,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Korogocho,Operational,None,FALSE,FALSE,FALSE,FALSE,,Yes,TRUE,FALSE,36.87151,-1.24976
31579,RFH Healthcare Imara Branch,RFH Healthcare Imara Branch,620335,Level_ 3,Comprehensive Health Centre,HEALTH CENTRE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,50,4,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,Admitting General & Maternity Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.881734,-1.327724
31524,Lavicol Healthcare Limited,Lavicol Healthcare Limited,617089,Level_ 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8920022,-1.317842
31411,Boundless Love Medical Limited,Boundless Love Medical Limited,20221,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.889433,-1.315666
None,Omega Opticians LTD Mombasa road,Omega Opticians LTD Mombasa road,2684,Level_ 2,Ophthalmology,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.8687127,-1.3266029
31222,Mother Ippolita Dispensary,Mother Ippolita Dispensary,1998,Level_ 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.888547,-1.3242
31156,Fadhili Medical Centre,Fadhili Medical Centre,14928,Level_ 3,Medical Center,MEDICAL CENTER,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Not Admitting Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.887001,-1.313245
30675,Jolelian Healthcare Centre,Jolelian Healthcare Centre,16032,Level_ 3,Medical Center,MEDICAL CENTER,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,12,0,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,Admitting Maternity Patients Only,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8754557,-1.3143377
30014,Mariestopes Kenya-Medical Centre Sameer Park Premier Center,Mariestopes Kenya-Medical Centre Sameer Park Premier Center,19444,Level_ 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8687127,-1.3266029
29807,Maccabees Healthcare,Maccabees Healthcare,60194,Level_ 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,18,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Admitting Maternity Patients Only,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.890061,-1.3154465
29633,Novic Medical Centre,Novic Medical Centre,52671,Level_ 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,25,2,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Admitting General & Maternity Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8920023,-1.3178419
29290,Tendercare Hospital LTD,Tendercare Hospital LTD,19027,Level_ 3,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,18,0,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,Admitting General & Maternity Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.882087,-1.3269861
29147,Middle Star-Swiss Hospital,Middle Star-Swiss Hospital,5168122,Level_ 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,23,4,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,Admitting General & Maternity Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8808757,-1.3289679
29095,Zarayah Medicare,Zarayah Medicare,7838,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kware,Operational,Not Admitting Patients,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8892861,-1.3193933
28432,Reuben Health Centre (GOK),Reuben Health Centre (GOK),222222,Level_ 3,Comprehensive Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Kenya MPDB,12,2,Nairobi,Embakasi South,Embakasi South,Kwa Reuben,Operational,None,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8729827,-1.3177593
28373,Njenga Hospital,Njenga Hospital,18585,Level_ 3,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Kenya MPDB,50,6,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,None,TRUE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.886555,-1.326999
27210,Penda Medical Centre Embakasi,Penda Medical Centre Embakasi (Imara Daima),6311,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,Not Admitting Patients,FALSE,TRUE,TRUE,TRUE,,Yes,TRUE,FALSE,36.8894413,-1.3139812
25217,Remycare Medical Services,Remycare Medical Services,16444,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,2,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,None,FALSE,TRUE,TRUE,TRUE,,No,TRUE,FALSE,36.8870744,-1.322838
24924,Mukuru Sunrise Medclinic,Mukuru Sunrise Medclinic,16375,Level_ 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Kwa Njenga,Operational,None,FALSE,TRUE,TRUE,FALSE,,Yes,TRUE,FALSE,36.886188,-1.323131
